wavelength_nm,E_direct_W_m2_um,E_diffuse_W_m2_um
820,62.674501236577804,10.047206572782567
821,63.50419348860252,10.167026793066693
822,63.844897227214425,10.198337219207493
823,64.10321636016612,10.213913798214168
824,64.73004492564392,10.295078166990379
825,65.6804324752154,10.43597427678888
826,66.49025732038707,10.555619889538397
827,66.82425078390573,10.593841151388085
828,66.78626858556727,10.566893399721875
829,66.71808104274608,10.533467556094111
830,66.85574280919421,10.53483973243324
831,67.23690104782504,10.578061256007215
832,67.8379416185555,10.659112871924204
833,68.67297824203551,10.780099655427017
834,69.73626729794604,10.939972197712878
835,70.92151516303652,11.120975940038967
836,72.059523717319,11.294704520225048
837,73.02968055376178,11.440676039423066
838,73.81221268549527,11.55523349472149
839,74.44645237149365,11.644759519618058
840,74.96918561784933,11.715481412116791
841,75.3968231627297,11.77039323802551
842,75.74405441302765,11.812033568502843
843,76.03536972918766,11.844221383787643
844,76.28409175644371,11.868817676219546
845,76.45626737986967,11.88007182689564
846,76.46405874637658,11.863602767417785
847,76.21431271799445,11.804344907414992
848,75.6880231944955,11.699450699189184
849,74.98089504050346,11.564652947883744
850,74.23036637132816,11.422507116349003
851,73.47303007154481,11.279955169966103
852,72.64554120208194,11.128278947824976
853,71.82082833504991,10.979116137186368
854,71.36834115808615,10.888661272744072
855,71.69377343158841,10.917863690581372
856,72.78714358583721,11.064004590133772
857,74.15510237635478,11.251148920405114
858,75.23545266656427,11.393630679337662
859,75.8002522476602,11.457113735345331
860,75.96347892724827,11.459264697720222
861,75.90617418435778,11.427795772867164
862,75.64225204182141,11.365086752491305
863,75.01519112643776,11.24790207225169
864,73.91509418164273,11.060146991308926
865,72.5368066283074,10.831371788112769
866,71.40341744146427,10.639813191675639
867,71.03816251315297,10.563081275673913
868,71.56169476596031,10.618383299204245
869,72.62785551960714,10.75364046013526
870,73.72497092550324,10.892740213592422
871,74.49086154397918,10.982240442370877
872,74.80341748392063,11.004464550903467
873,74.7174997610495,10.967870975994153
874,74.38770367030327,10.895457601310268
875,74.00198033286122,10.814881181057565
876,73.70023743428911,10.746530422286046
877,73.5077848668681,10.69396178731585
878,73.34918137006484,10.646142296262953
879,73.14454175271,10.591555926980005
880,72.89710831531252,10.530829114795562
881,72.67805217288358,10.474383922942854
882,72.52710066962119,10.427969626136381
883,72.39297573209839,10.384040398435967
884,72.19104358025781,10.330193886433664
885,71.90751834135803,10.264439198363887
886,71.62323430601755,10.1986689200356
887,71.42472535477101,10.145426694290805
888,71.29046847121981,10.10094643294823
889,71.05618078736113,10.040008032566558
890,70.47616238671932,9.925261862012011
891,69.3186747796266,9.7219001025026
892,67.43799219075426,9.409069098285716
893,64.81306198354532,8.986097410861937
894,61.56484911197802,8.474732604752017
895,57.949441185029706,7.916683304665399
896,54.30758339044921,7.364098999571365
897,50.983974583795316,6.866198234900179
898,48.28114352485989,6.462862109068752
899,46.4735271409082,6.18908156801549
900,45.80688334422023,6.077698159914358
901,46.403952372171794,6.14676666810789
902,48.09164251888682,6.373364259452918
903,50.265458119866075,6.672242989780578
904,51.986572412107854,6.908988540689412
905,52.41690193058134,6.96279577178435
906,51.33695025219299,6.801308268508965
907,49.27575527575164,6.49938746020592
908,47.117843216968566,6.182689559486822
909,45.541134301810075,5.947389765386863
910,44.70546536971011,5.816137104801951
911,44.32793697253349,5.749011726195747
912,44.015780827004264,5.6906600852469555
913,43.59465392527203,5.61670617022334
914,43.1926465993681,5.545656076758786
915,43.08341387665012,5.51645270022689
916,43.5125799566909,5.56349210399855
917,44.6183368842176,5.705536187460591
918,46.34951560661767,5.935005475352817
919,48.36526186005503,6.204465303279368
920,50.09656062547371,6.43487018179913
921,51.04722524525133,6.556806617501862
922,51.08933725104813,6.551427885002937
923,50.45124101859436,6.449565197793825
924,49.40871914519044,6.2901977787332815
925,47.96330513412866,6.076627115231591
926,45.78279123765282,5.767596413369424
927,42.46997609282218,5.312818638270914
928,37.93480082369503,4.70295030861638
929,32.52283406283764,3.9867128148811672
930,26.821364577243028,3.243880357809434
931,21.410840491106327,2.5503679976647704
932,16.773144765042503,1.9650984834140983
933,13.273139255375812,1.5288452160697887
934,11.095403436653125,1.2589860584742174
935,10.216354003054887,1.1483566975779942
936,10.504746197114914,1.1785313031901636
937,11.812306810801168,1.3306431156277088
938,13.862050953931995,1.5712548477948656
939,16.07419370757183,1.8310189226457803
940,17.698094558823183,2.0205145364716106
941,18.25680097557801,2.08340748090603
942,17.83950734410763,2.0308680859880304
943,16.951083614140217,1.92298535493971
944,16.140168615847852,1.8244661525095776
945,15.740202413093499,1.7744966136932918
946,15.818704024837835,1.7811980308641742
947,16.254910235084207,1.8305046948572423
948,16.852512177694734,1.8988616334862785
949,17.435191490882755,1.9645263165733349
950,17.901974545513607,2.0149375482916563
951,18.24477764918417,2.049603622677624
952,18.539293832750158,2.0789852408120364
953,18.90229026874241,2.11855883807529
954,19.430173927558084,2.1805344507174174
955,20.164555447695808,2.269329500829904
